"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39","Policy is not accepted due to missing context ""Contract reference""","","Mon May 04 06:19:27 UTC 2026","passed","Mon May 04 06:19:27 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","222","Multiple ContractDefinitions exist for one Asset","","Mon May 04 06:20:26 UTC 2026","passed","Mon May 04 06:20:27 UTC 2026","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_multipleOffersForAsset"
"","4002","transferData_failing_withProxyOriginalResponse()","","Mon May 04 06:20:32 UTC 2026","passed","Mon May 04 06:20:36 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_failing_withProxyOriginalResponse"
"","4112","transferData_unsuccessful_notReturnOriginalSourceResponseCode_withTerminate()","","Mon May 04 06:21:41 UTC 2026","passed","Mon May 04 06:21:45 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_unsuccessful_notReturnOriginalSourceResponseCode_withTerminate"
"","39","Policy is not accepted due to missing context ""Liability""","","Mon May 04 06:19:27 UTC 2026","passed","Mon May 04 06:19:27 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","111","X.X Verifier should reject Presentations where at least 1 credential schema is violated","","Mon May 04 06:18:57 UTC 2026","passed","Mon May 04 06:18:57 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_x_x_presentationResponse_invalidCredentialSchema"
"","8247","azureBlobPush_containerNotExist()","","Mon May 04 06:19:58 UTC 2026","passed","Mon May 04 06:20:06 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","azureBlobPush_containerNotExist"
"","58","Policy is accepted ""Warranty""","","Mon May 04 06:19:25 UTC 2026","passed","Mon May 04 06:19:25 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","29","Verifier should reject an auth token without the Bearer prefix","","Mon May 04 06:18:56 UTC 2026","passed","Mon May 04 06:18:56 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","presentationResponse_rejectMissingBearerPrefix"
"","83","Policy is accepted ""DataExchangeGovernance use case""","","Mon May 04 06:19:24 UTC 2026","passed","Mon May 04 06:19:24 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
